Date_extraction;year;month;day
2018-11-04 22:38:12;2018;2018-11;2018-11-4
2018-11-06 09:32:57;2018;2018-11;2018-11-6
2018-11-07 23:35:55;2018;2018-11;2018-11-7
2018-11-04 22:39:35;2018;2018-11;2018-11-4
2018-11-06 09:33:17;2018;2018-11;2018-11-6
2018-11-07 23:25:12;2018;2018-11;2018-11-7
2018-11-11 20:30:02;2018;2018-11;2018-11-11
2018-11-15 19:09:09;2018;2018-11;2018-11-15
2018-11-25 20:30:02;2018;2018-11;2018-11-25
2018-12-02 20:30:01;2018;2018-12;2018-12-2
2018-12-09 20:30:02;2018;2018-12;2018-12-9
2018-12-16 20:30:01;2018;2018-12;2018-12-16
2018-12-23 20:30:02;2018;2018-12;2018-12-23
2018-12-30 20:30:02;2018;2018-12;2018-12-30
2019-01-06 20:30:02;2019;2019-1;2019-1-6
2019-01-20 20:30:02;2019;2019-1;2019-1-20
2019-01-27 20:30:02;2019;2019-1;2019-1-27
2018-10-17 09:57:41;2018;2018-10;2018-10-17
2018-10-25 13:38:53;2018;2018-10;2018-10-25
2018-10-31 14:39:05;2018;2018-10;2018-10-31
2018-10-31 18:42:13;2018;2018-10;2018-10-31
2018-11-04 22:39:35;2018;2018-11;2018-11-4
2018-11-06 09:33:17;2018;2018-11;2018-11-6
2018-11-07 23:25:12;2018;2018-11;2018-11-7
2018-11-11 20:30:02;2018;2018-11;2018-11-11
2018-11-15 19:09:09;2018;2018-11;2018-11-15
2018-11-25 20:30:02;2018;2018-11;2018-11-25
2018-12-02 20:30:01;2018;2018-12;2018-12-2
2018-12-09 20:30:02;2018;2018-12;2018-12-9
2018-12-16 20:30:01;2018;2018-12;2018-12-16
2018-12-23 20:30:02;2018;2018-12;2018-12-23
2018-12-30 20:30:02;2018;2018-12;2018-12-30
2019-01-06 20:30:02;2019;2019-1;2019-1-6
2019-01-20 20:30:02;2019;2019-1;2019-1-20
2019-01-27 20:30:02;2019;2019-1;2019-1-27
2018-10-17 09:57:41;2018;2018-10;2018-10-17
2018-10-25 13:38:53;2018;2018-10;2018-10-25
2018-10-31 14:39:05;2018;2018-10;2018-10-31
2018-10-31 18:42:13;2018;2018-10;2018-10-31
2018-11-04 22:39:35;2018;2018-11;2018-11-4
2018-11-06 09:33:17;2018;2018-11;2018-11-6
2018-11-07 23:25:12;2018;2018-11;2018-11-7
2018-11-11 20:30:02;2018;2018-11;2018-11-11
2018-11-15 19:09:09;2018;2018-11;2018-11-15
2018-11-25 20:30:02;2018;2018-11;2018-11-25
2018-12-02 20:30:01;2018;2018-12;2018-12-2
2018-12-16 20:30:01;2018;2018-12;2018-12-16
2018-12-23 20:30:02;2018;2018-12;2018-12-23
2018-12-30 20:30:02;2018;2018-12;2018-12-30
2019-01-06 20:30:02;2019;2019-1;2019-1-6
2019-01-20 20:30:02;2019;2019-1;2019-1-20
2019-01-27 20:30:02;2019;2019-1;2019-1-27
2018-10-17 09:57:41;2018;2018-10;2018-10-17
2018-10-25 13:38:53;2018;2018-10;2018-10-25
2018-10-31 14:39:05;2018;2018-10;2018-10-31
2018-10-31 18:42:13;2018;2018-10;2018-10-31
2018-11-04 22:39:35;2018;2018-11;2018-11-4
2018-11-06 09:33:17;2018;2018-11;2018-11-6
2018-11-07 23:25:12;2018;2018-11;2018-11-7
2018-11-11 20:30:02;2018;2018-11;2018-11-11
2018-11-15 19:09:09;2018;2018-11;2018-11-15
2018-11-25 20:30:02;2018;2018-11;2018-11-25
2018-12-02 20:30:01;2018;2018-12;2018-12-2
2018-12-16 20:30:01;2018;2018-12;2018-12-16
2018-12-23 20:30:02;2018;2018-12;2018-12-23
2018-12-30 20:30:02;2018;2018-12;2018-12-30
2019-01-06 20:30:02;2019;2019-1;2019-1-6
2019-01-20 20:30:02;2019;2019-1;2019-1-20
2019-01-27 20:30:02;2019;2019-1;2019-1-27
2018-10-17 09:57:41;2018;2018-10;2018-10-17
2018-10-25 13:38:53;2018;2018-10;2018-10-25
2018-10-31 14:39:05;2018;2018-10;2018-10-31
2018-10-31 18:42:13;2018;2018-10;2018-10-31
2018-11-04 22:39:35;2018;2018-11;2018-11-4
2018-11-07 23:25:12;2018;2018-11;2018-11-7
2018-11-11 20:30:02;2018;2018-11;2018-11-11
2018-11-15 19:09:09;2018;2018-11;2018-11-15
2018-11-25 20:30:02;2018;2018-11;2018-11-25
2018-12-02 20:30:01;2018;2018-12;2018-12-2
2018-12-16 20:30:01;2018;2018-12;2018-12-16
2018-12-23 20:30:02;2018;2018-12;2018-12-23
2018-12-30 20:30:02;2018;2018-12;2018-12-30
2019-01-06 20:30:02;2019;2019-1;2019-1-6
2019-01-20 20:30:02;2019;2019-1;2019-1-20
2019-01-27 20:30:02;2019;2019-1;2019-1-27
2018-10-17 09:57:41;2018;2018-10;2018-10-17
2018-10-25 13:38:53;2018;2018-10;2018-10-25
2018-10-31 14:39:05;2018;2018-10;2018-10-31
2018-10-31 18:42:13;2018;2018-10;2018-10-31
2018-11-04 22:39:35;2018;2018-11;2018-11-4
2018-11-06 09:33:17;2018;2018-11;2018-11-6
2018-11-07 23:25:12;2018;2018-11;2018-11-7
2018-11-11 20:30:02;2018;2018-11;2018-11-11
2018-11-15 19:09:09;2018;2018-11;2018-11-15
2018-11-25 20:30:02;2018;2018-11;2018-11-25
2018-12-02 20:30:01;2018;2018-12;2018-12-2
2018-12-16 20:30:01;2018;2018-12;2018-12-16
2018-12-23 20:30:02;2018;2018-12;2018-12-23
2018-12-30 20:30:02;2018;2018-12;2018-12-30
2019-01-06 20:30:02;2019;2019-1;2019-1-6
2019-01-20 20:30:02;2019;2019-1;2019-1-20
2019-01-27 20:30:02;2019;2019-1;2019-1-27
2018-10-17 09:57:41;2018;2018-10;2018-10-17
2018-10-25 13:38:53;2018;2018-10;2018-10-25
2018-10-31 14:39:05;2018;2018-10;2018-10-31
2018-10-31 18:42:13;2018;2018-10;2018-10-31
2018-11-04 22:39:35;2018;2018-11;2018-11-4
2018-11-06 09:33:17;2018;2018-11;2018-11-6
2018-11-07 23:25:12;2018;2018-11;2018-11-7
2018-11-11 20:30:02;2018;2018-11;2018-11-11
2018-11-15 19:09:09;2018;2018-11;2018-11-15
2018-11-25 20:30:02;2018;2018-11;2018-11-25
2018-12-02 20:30:01;2018;2018-12;2018-12-2
2018-12-16 20:30:01;2018;2018-12;2018-12-16
2018-12-23 20:30:02;2018;2018-12;2018-12-23
2018-12-30 20:30:02;2018;2018-12;2018-12-30
2019-01-06 20:30:02;2019;2019-1;2019-1-6
2019-01-20 20:30:02;2019;2019-1;2019-1-20
2019-01-27 20:30:02;2019;2019-1;2019-1-27
2018-10-17 09:57:41;2018;2018-10;2018-10-17
2018-10-25 13:38:53;2018;2018-10;2018-10-25
2018-10-31 14:39:05;2018;2018-10;2018-10-31
2018-10-31 18:42:13;2018;2018-10;2018-10-31
2018-11-04 22:39:35;2018;2018-11;2018-11-4
2018-11-06 09:33:17;2018;2018-11;2018-11-6
2018-11-07 23:25:12;2018;2018-11;2018-11-7
2018-11-11 20:30:02;2018;2018-11;2018-11-11
2018-11-15 19:09:09;2018;2018-11;2018-11-15
2018-11-25 20:30:02;2018;2018-11;2018-11-25
2018-12-02 20:30:01;2018;2018-12;2018-12-2
2018-12-16 20:30:01;2018;2018-12;2018-12-16
2018-12-23 20:30:02;2018;2018-12;2018-12-23
2018-12-30 20:30:02;2018;2018-12;2018-12-30
2019-01-06 20:30:02;2019;2019-1;2019-1-6
2019-01-20 20:30:02;2019;2019-1;2019-1-20
2019-01-27 20:30:02;2019;2019-1;2019-1-27
2018-10-17 09:57:41;2018;2018-10;2018-10-17
2018-10-25 13:38:53;2018;2018-10;2018-10-25
2018-10-31 14:39:05;2018;2018-10;2018-10-31
2018-10-31 18:42:13;2018;2018-10;2018-10-31
2018-11-04 22:39:35;2018;2018-11;2018-11-4
2018-11-06 09:33:17;2018;2018-11;2018-11-6
2018-11-07 23:25:12;2018;2018-11;2018-11-7
2018-11-11 20:30:02;2018;2018-11;2018-11-11
2018-11-15 19:09:09;2018;2018-11;2018-11-15
2018-11-25 20:30:02;2018;2018-11;2018-11-25
2018-12-02 20:30:01;2018;2018-12;2018-12-2
2018-12-16 20:30:01;2018;2018-12;2018-12-16
2018-12-23 20:30:02;2018;2018-12;2018-12-23
2018-12-30 20:30:02;2018;2018-12;2018-12-30
2019-01-06 20:30:02;2019;2019-1;2019-1-6
2019-01-20 20:30:02;2019;2019-1;2019-1-20
2019-01-27 20:30:02;2019;2019-1;2019-1-27
2018-10-17 09:57:41;2018;2018-10;2018-10-17
2018-10-25 13:38:53;2018;2018-10;2018-10-25
2018-10-31 14:39:05;2018;2018-10;2018-10-31
2018-10-31 18:42:13;2018;2018-10;2018-10-31
2018-11-04 22:39:35;2018;2018-11;2018-11-4
2018-11-06 09:33:17;2018;2018-11;2018-11-6
2018-11-07 23:25:12;2018;2018-11;2018-11-7
2018-11-11 20:30:02;2018;2018-11;2018-11-11
2018-11-15 19:09:09;2018;2018-11;2018-11-15
2018-11-25 20:30:02;2018;2018-11;2018-11-25
2018-12-02 20:30:01;2018;2018-12;2018-12-2
2018-12-16 20:30:01;2018;2018-12;2018-12-16
2018-12-23 20:30:02;2018;2018-12;2018-12-23
2018-12-30 20:30:02;2018;2018-12;2018-12-30
2019-01-06 20:30:02;2019;2019-1;2019-1-6
2019-01-20 20:30:02;2019;2019-1;2019-1-20
2019-01-27 20:30:02;2019;2019-1;2019-1-27
2018-10-17 09:57:41;2018;2018-10;2018-10-17
2018-10-25 13:38:53;2018;2018-10;2018-10-25
2018-10-31 14:39:05;2018;2018-10;2018-10-31
2018-10-31 18:42:13;2018;2018-10;2018-10-31
2018-11-04 22:39:35;2018;2018-11;2018-11-4
2018-11-06 09:33:17;2018;2018-11;2018-11-6
2018-11-07 23:25:12;2018;2018-11;2018-11-7
2018-11-11 20:30:02;2018;2018-11;2018-11-11
2018-11-15 19:09:09;2018;2018-11;2018-11-15
2018-11-25 20:30:02;2018;2018-11;2018-11-25
2018-12-02 20:30:01;2018;2018-12;2018-12-2
2018-12-16 20:30:01;2018;2018-12;2018-12-16
2018-12-23 20:30:02;2018;2018-12;2018-12-23
2018-12-30 20:30:02;2018;2018-12;2018-12-30
2019-01-06 20:30:02;2019;2019-1;2019-1-6
2019-01-20 20:30:02;2019;2019-1;2019-1-20
2019-01-27 20:30:02;2019;2019-1;2019-1-27
2018-10-17 09:57:41;2018;2018-10;2018-10-17
2018-10-25 13:38:53;2018;2018-10;2018-10-25
2018-10-31 14:39:05;2018;2018-10;2018-10-31
2018-10-31 18:42:13;2018;2018-10;2018-10-31
2018-11-04 22:39:35;2018;2018-11;2018-11-4
2018-11-06 09:33:17;2018;2018-11;2018-11-6
2018-11-07 23:25:12;2018;2018-11;2018-11-7
2018-11-11 20:30:02;2018;2018-11;2018-11-11
2018-11-15 19:09:09;2018;2018-11;2018-11-15
2018-11-25 20:30:02;2018;2018-11;2018-11-25
2018-12-02 20:30:01;2018;2018-12;2018-12-2
2018-12-16 20:30:01;2018;2018-12;2018-12-16
2018-12-23 20:30:02;2018;2018-12;2018-12-23
2018-12-30 20:30:02;2018;2018-12;2018-12-30
2019-01-06 20:30:02;2019;2019-1;2019-1-6
2019-01-20 20:30:02;2019;2019-1;2019-1-20
2019-01-27 20:30:02;2019;2019-1;2019-1-27
2018-10-17 09:57:41;2018;2018-10;2018-10-17
2018-10-25 13:38:53;2018;2018-10;2018-10-25
2018-10-31 14:39:05;2018;2018-10;2018-10-31
2018-10-31 18:42:13;2018;2018-10;2018-10-31
2018-11-04 22:39:35;2018;2018-11;2018-11-4
2018-11-06 09:33:17;2018;2018-11;2018-11-6
2018-11-07 23:25:12;2018;2018-11;2018-11-7
2018-11-11 20:30:02;2018;2018-11;2018-11-11
2018-11-15 19:09:09;2018;2018-11;2018-11-15
2018-11-25 20:30:02;2018;2018-11;2018-11-25
2018-12-02 20:30:01;2018;2018-12;2018-12-2
2018-12-16 20:30:01;2018;2018-12;2018-12-16
2018-12-23 20:30:02;2018;2018-12;2018-12-23
2018-12-30 20:30:02;2018;2018-12;2018-12-30
2019-01-06 20:30:02;2019;2019-1;2019-1-6
2019-01-20 20:30:02;2019;2019-1;2019-1-20
2019-01-27 20:30:02;2019;2019-1;2019-1-27
2018-10-31 14:39:05;2018;2018-10;2018-10-31
2018-11-04 22:39:35;2018;2018-11;2018-11-4
2018-11-06 09:33:17;2018;2018-11;2018-11-6
2018-11-07 23:25:12;2018;2018-11;2018-11-7
2018-11-11 20:30:02;2018;2018-11;2018-11-11
2018-11-15 19:09:09;2018;2018-11;2018-11-15
2018-11-25 20:30:02;2018;2018-11;2018-11-25
2018-12-02 20:30:01;2018;2018-12;2018-12-2
2018-12-16 20:30:01;2018;2018-12;2018-12-16
2018-12-23 20:30:02;2018;2018-12;2018-12-23
2018-12-30 20:30:02;2018;2018-12;2018-12-30
2019-01-06 20:30:02;2019;2019-1;2019-1-6
2019-01-20 20:30:02;2019;2019-1;2019-1-20
2019-01-27 20:30:02;2019;2019-1;2019-1-27
2018-10-31 14:39:05;2018;2018-10;2018-10-31
2018-11-04 22:39:35;2018;2018-11;2018-11-4
2018-11-06 09:33:17;2018;2018-11;2018-11-6
2018-11-07 23:25:12;2018;2018-11;2018-11-7
2018-11-11 20:30:02;2018;2018-11;2018-11-11
2018-11-15 19:09:09;2018;2018-11;2018-11-15
2018-11-25 20:30:02;2018;2018-11;2018-11-25
2018-12-02 20:30:01;2018;2018-12;2018-12-2
2018-12-16 20:30:01;2018;2018-12;2018-12-16
2018-12-23 20:30:02;2018;2018-12;2018-12-23
2018-12-30 20:30:02;2018;2018-12;2018-12-30
2019-01-06 20:30:02;2019;2019-1;2019-1-6
2019-01-20 20:30:02;2019;2019-1;2019-1-20
2019-01-27 20:30:02;2019;2019-1;2019-1-27
2018-10-31 14:39:05;2018;2018-10;2018-10-31
2018-11-04 22:39:35;2018;2018-11;2018-11-4
2018-11-06 09:33:17;2018;2018-11;2018-11-6
2018-11-07 23:25:12;2018;2018-11;2018-11-7
2018-11-11 20:30:02;2018;2018-11;2018-11-11
2018-11-15 19:09:09;2018;2018-11;2018-11-15
2018-11-25 20:30:02;2018;2018-11;2018-11-25
2018-12-02 20:30:01;2018;2018-12;2018-12-2
2018-12-16 20:30:01;2018;2018-12;2018-12-16
2018-12-23 20:30:02;2018;2018-12;2018-12-23
2018-12-30 20:30:02;2018;2018-12;2018-12-30
2019-01-06 20:30:02;2019;2019-1;2019-1-6
2019-01-20 20:30:02;2019;2019-1;2019-1-20
2019-01-27 20:30:02;2019;2019-1;2019-1-27
2018-10-31 14:39:05;2018;2018-10;2018-10-31
2018-11-04 22:39:35;2018;2018-11;2018-11-4
2018-11-06 09:33:17;2018;2018-11;2018-11-6
2018-11-07 23:25:12;2018;2018-11;2018-11-7
2018-11-11 20:30:02;2018;2018-11;2018-11-11
2018-11-15 19:09:09;2018;2018-11;2018-11-15
2018-11-25 20:30:02;2018;2018-11;2018-11-25
2018-12-02 20:30:01;2018;2018-12;2018-12-2
2018-12-16 20:30:01;2018;2018-12;2018-12-16
2018-12-23 20:30:02;2018;2018-12;2018-12-23
2018-12-30 20:30:02;2018;2018-12;2018-12-30
2019-01-06 20:30:02;2019;2019-1;2019-1-6
2019-01-20 20:30:02;2019;2019-1;2019-1-20
2019-01-27 20:30:02;2019;2019-1;2019-1-27
2018-10-31 14:39:05;2018;2018-10;2018-10-31
2018-11-04 22:39:35;2018;2018-11;2018-11-4
2018-11-06 09:33:17;2018;2018-11;2018-11-6
2018-11-07 23:25:12;2018;2018-11;2018-11-7
2018-11-11 20:30:02;2018;2018-11;2018-11-11
2018-11-15 19:09:09;2018;2018-11;2018-11-15
2018-11-25 20:30:02;2018;2018-11;2018-11-25
2018-12-02 20:30:01;2018;2018-12;2018-12-2
2018-12-16 20:30:01;2018;2018-12;2018-12-16
2018-12-23 20:30:02;2018;2018-12;2018-12-23
2018-12-30 20:30:02;2018;2018-12;2018-12-30
2019-01-06 20:30:02;2019;2019-1;2019-1-6
2019-01-20 20:30:02;2019;2019-1;2019-1-20
2019-01-27 20:30:02;2019;2019-1;2019-1-27
2018-10-31 14:39:05;2018;2018-10;2018-10-31
2018-11-03 10:40:44;2018;2018-11;2018-11-3
2018-11-04 22:39:35;2018;2018-11;2018-11-4
2018-11-06 09:33:17;2018;2018-11;2018-11-6
2018-11-07 23:25:12;2018;2018-11;2018-11-7
2018-11-11 20:30:02;2018;2018-11;2018-11-11
2018-11-15 19:09:09;2018;2018-11;2018-11-15
2018-11-25 20:30:02;2018;2018-11;2018-11-25
2018-12-02 20:30:01;2018;2018-12;2018-12-2
2018-12-16 20:30:01;2018;2018-12;2018-12-16
2018-12-23 20:30:02;2018;2018-12;2018-12-23
2018-12-30 20:30:02;2018;2018-12;2018-12-30
2019-01-06 20:30:02;2019;2019-1;2019-1-6
2019-01-20 20:30:02;2019;2019-1;2019-1-20
2019-01-27 20:30:02;2019;2019-1;2019-1-27
2018-10-31 14:39:05;2018;2018-10;2018-10-31
2018-11-04 22:39:35;2018;2018-11;2018-11-4
2018-11-06 09:33:17;2018;2018-11;2018-11-6
2018-11-07 23:25:12;2018;2018-11;2018-11-7
2018-11-11 20:30:02;2018;2018-11;2018-11-11
2018-11-15 19:09:09;2018;2018-11;2018-11-15
2018-11-25 20:30:02;2018;2018-11;2018-11-25
2018-12-02 20:30:01;2018;2018-12;2018-12-2
2018-12-16 20:30:01;2018;2018-12;2018-12-16
2018-12-23 20:30:02;2018;2018-12;2018-12-23
2018-12-30 20:30:02;2018;2018-12;2018-12-30
2019-01-06 20:30:02;2019;2019-1;2019-1-6
2019-01-20 20:30:02;2019;2019-1;2019-1-20
2019-01-27 20:30:02;2019;2019-1;2019-1-27
2018-10-31 14:39:05;2018;2018-10;2018-10-31
2018-11-04 22:39:35;2018;2018-11;2018-11-4
2018-11-06 09:33:17;2018;2018-11;2018-11-6
2018-11-07 23:25:12;2018;2018-11;2018-11-7
2018-11-11 20:30:02;2018;2018-11;2018-11-11
2018-11-15 19:09:09;2018;2018-11;2018-11-15
2018-11-25 20:30:02;2018;2018-11;2018-11-25
2018-12-02 20:30:01;2018;2018-12;2018-12-2
2018-12-16 20:30:01;2018;2018-12;2018-12-16
2018-12-23 20:30:02;2018;2018-12;2018-12-23
2018-12-30 20:30:02;2018;2018-12;2018-12-30
2019-01-06 20:30:02;2019;2019-1;2019-1-6
2019-01-20 20:30:02;2019;2019-1;2019-1-20
2019-01-27 20:30:02;2019;2019-1;2019-1-27
2018-10-31 14:39:05;2018;2018-10;2018-10-31
2018-11-03 01:00:02;2018;2018-11;2018-11-3
2018-11-04 22:39:35;2018;2018-11;2018-11-4
2018-11-06 09:33:17;2018;2018-11;2018-11-6
2018-11-07 23:25:12;2018;2018-11;2018-11-7
2018-11-11 20:30:02;2018;2018-11;2018-11-11
2018-11-15 19:09:09;2018;2018-11;2018-11-15
2018-11-25 20:30:02;2018;2018-11;2018-11-25
2018-12-02 20:30:01;2018;2018-12;2018-12-2
2018-12-16 20:30:01;2018;2018-12;2018-12-16
2018-12-23 20:30:02;2018;2018-12;2018-12-23
2018-12-30 20:30:02;2018;2018-12;2018-12-30
2019-01-06 20:30:02;2019;2019-1;2019-1-6
2019-01-20 20:30:02;2019;2019-1;2019-1-20
2019-01-27 20:30:02;2019;2019-1;2019-1-27
2018-10-31 14:39:05;2018;2018-10;2018-10-31
2018-11-04 22:39:35;2018;2018-11;2018-11-4
2018-11-06 09:33:17;2018;2018-11;2018-11-6
2018-11-07 23:25:12;2018;2018-11;2018-11-7
2018-11-11 20:30:02;2018;2018-11;2018-11-11
2018-11-15 19:09:09;2018;2018-11;2018-11-15
2018-11-25 20:30:02;2018;2018-11;2018-11-25
2018-12-02 20:30:01;2018;2018-12;2018-12-2
2018-12-16 20:30:01;2018;2018-12;2018-12-16
2018-12-23 20:30:02;2018;2018-12;2018-12-23
2018-12-30 20:30:02;2018;2018-12;2018-12-30
2019-01-06 20:30:02;2019;2019-1;2019-1-6
2019-01-20 20:30:02;2019;2019-1;2019-1-20
2019-01-27 20:30:02;2019;2019-1;2019-1-27
2018-10-31 14:39:05;2018;2018-10;2018-10-31
2018-11-04 22:39:35;2018;2018-11;2018-11-4
2018-11-06 09:33:17;2018;2018-11;2018-11-6
2018-11-07 23:25:12;2018;2018-11;2018-11-7
2018-11-11 20:30:02;2018;2018-11;2018-11-11
2018-11-15 19:09:09;2018;2018-11;2018-11-15
2018-11-25 20:30:02;2018;2018-11;2018-11-25
2018-12-02 20:30:01;2018;2018-12;2018-12-2
2018-12-16 20:30:01;2018;2018-12;2018-12-16
2018-12-23 20:30:02;2018;2018-12;2018-12-23
2018-12-30 20:30:02;2018;2018-12;2018-12-30
2019-01-06 20:30:02;2019;2019-1;2019-1-6
2019-01-20 20:30:02;2019;2019-1;2019-1-20
2019-01-27 20:30:02;2019;2019-1;2019-1-27
2018-10-31 14:39:05;2018;2018-10;2018-10-31
2018-11-04 22:39:35;2018;2018-11;2018-11-4
2018-11-06 09:33:17;2018;2018-11;2018-11-6
2018-11-07 23:25:12;2018;2018-11;2018-11-7
2018-11-11 20:30:02;2018;2018-11;2018-11-11
2018-11-15 19:09:09;2018;2018-11;2018-11-15
2018-11-25 20:30:02;2018;2018-11;2018-11-25
2018-12-02 20:30:01;2018;2018-12;2018-12-2
2018-12-16 20:30:01;2018;2018-12;2018-12-16
2018-12-23 20:30:02;2018;2018-12;2018-12-23
2018-12-30 20:30:02;2018;2018-12;2018-12-30
2019-01-06 20:30:02;2019;2019-1;2019-1-6
2019-01-20 20:30:02;2019;2019-1;2019-1-20
2019-01-27 20:30:02;2019;2019-1;2019-1-27
2018-11-11 20:00:01;2018;2018-11;2018-11-11
2018-11-15 19:03:05;2018;2018-11;2018-11-15
2018-11-25 20:00:03;2018;2018-11;2018-11-25
2018-12-02 20:00:03;2018;2018-12;2018-12-2
2018-12-09 20:00:03;2018;2018-12;2018-12-9
2018-12-16 20:00:03;2018;2018-12;2018-12-16
2018-12-23 20:00:02;2018;2018-12;2018-12-23
2018-12-30 20:00:03;2018;2018-12;2018-12-30
2019-01-06 20:00:05;2019;2019-1;2019-1-6
2019-01-20 20:00:03;2019;2019-1;2019-1-20
2019-01-27 20:00:03;2019;2019-1;2019-1-27
2018-10-31 14:36:13;2018;2018-10;2018-10-31
2018-10-31 18:43:28;2018;2018-10;2018-10-31
2018-11-04 22:38:12;2018;2018-11;2018-11-4
2018-11-06 09:32:57;2018;2018-11;2018-11-6
2018-11-07 23:35:55;2018;2018-11;2018-11-7
2018-11-11 20:00:01;2018;2018-11;2018-11-11
2018-11-15 19:03:05;2018;2018-11;2018-11-15
2018-11-25 20:00:03;2018;2018-11;2018-11-25
2018-12-02 20:00:03;2018;2018-12;2018-12-2
2018-12-09 20:00:03;2018;2018-12;2018-12-9
2018-12-16 20:00:03;2018;2018-12;2018-12-16
2018-12-23 20:00:02;2018;2018-12;2018-12-23
2018-12-30 20:00:03;2018;2018-12;2018-12-30
2019-01-06 20:00:05;2019;2019-1;2019-1-6
2019-01-20 20:00:03;2019;2019-1;2019-1-20
2019-01-27 20:00:03;2019;2019-1;2019-1-27
2018-10-17 09:53:16;2018;2018-10;2018-10-17
2018-10-31 14:36:13;2018;2018-10;2018-10-31
2018-10-31 18:43:28;2018;2018-10;2018-10-31
2018-11-04 22:38:12;2018;2018-11;2018-11-4
2018-11-06 09:32:57;2018;2018-11;2018-11-6
2018-11-07 23:35:55;2018;2018-11;2018-11-7
2018-11-11 20:00:01;2018;2018-11;2018-11-11
2018-11-15 19:03:05;2018;2018-11;2018-11-15
2018-11-25 20:00:03;2018;2018-11;2018-11-25
2018-12-02 20:00:03;2018;2018-12;2018-12-2
2018-12-09 20:00:03;2018;2018-12;2018-12-9
2018-12-16 20:00:03;2018;2018-12;2018-12-16
2018-12-23 20:00:02;2018;2018-12;2018-12-23
2018-12-30 20:00:03;2018;2018-12;2018-12-30
2019-01-06 20:00:05;2019;2019-1;2019-1-6
2019-01-20 20:00:03;2019;2019-1;2019-1-20
2019-01-27 20:00:03;2019;2019-1;2019-1-27
2018-10-17 09:53:16;2018;2018-10;2018-10-17
2018-10-31 14:36:13;2018;2018-10;2018-10-31
2018-10-31 18:43:28;2018;2018-10;2018-10-31
2018-11-04 22:38:12;2018;2018-11;2018-11-4
2018-11-06 09:32:57;2018;2018-11;2018-11-6
2018-11-07 23:35:55;2018;2018-11;2018-11-7
2018-11-11 20:00:01;2018;2018-11;2018-11-11
2018-11-15 19:03:05;2018;2018-11;2018-11-15
2018-11-25 20:00:03;2018;2018-11;2018-11-25
2018-12-02 20:00:03;2018;2018-12;2018-12-2
2018-12-09 20:00:03;2018;2018-12;2018-12-9
2018-12-16 20:00:03;2018;2018-12;2018-12-16
2018-12-23 20:00:02;2018;2018-12;2018-12-23
2018-12-30 20:00:03;2018;2018-12;2018-12-30
2019-01-06 20:00:05;2019;2019-1;2019-1-6
2019-01-20 20:00:03;2019;2019-1;2019-1-20
2019-01-27 20:00:03;2019;2019-1;2019-1-27
2018-10-17 09:53:16;2018;2018-10;2018-10-17
2018-10-31 14:36:13;2018;2018-10;2018-10-31
2018-10-31 18:43:28;2018;2018-10;2018-10-31
2018-11-04 22:38:12;2018;2018-11;2018-11-4
2018-11-06 09:32:57;2018;2018-11;2018-11-6
2018-11-07 23:35:55;2018;2018-11;2018-11-7
2018-11-11 20:00:01;2018;2018-11;2018-11-11
2018-11-15 19:03:05;2018;2018-11;2018-11-15
2018-11-25 20:00:03;2018;2018-11;2018-11-25
2018-12-02 20:00:03;2018;2018-12;2018-12-2
2018-12-09 20:00:03;2018;2018-12;2018-12-9
2018-12-16 20:00:03;2018;2018-12;2018-12-16
2018-12-23 20:00:02;2018;2018-12;2018-12-23
2018-12-30 20:00:03;2018;2018-12;2018-12-30
2019-01-06 20:00:05;2019;2019-1;2019-1-6
2019-01-20 20:00:03;2019;2019-1;2019-1-20
2019-01-27 20:00:03;2019;2019-1;2019-1-27
2018-10-17 09:53:16;2018;2018-10;2018-10-17
2018-10-31 14:36:13;2018;2018-10;2018-10-31
2018-10-31 18:43:28;2018;2018-10;2018-10-31
2018-11-04 22:38:12;2018;2018-11;2018-11-4
2018-11-06 09:32:57;2018;2018-11;2018-11-6
2018-11-07 23:35:55;2018;2018-11;2018-11-7
2018-11-11 20:00:01;2018;2018-11;2018-11-11
2018-11-15 19:03:05;2018;2018-11;2018-11-15
2018-11-25 20:00:03;2018;2018-11;2018-11-25
2018-12-02 20:00:03;2018;2018-12;2018-12-2
2018-12-09 20:00:03;2018;2018-12;2018-12-9
2018-12-16 20:00:03;2018;2018-12;2018-12-16
2018-12-23 20:00:02;2018;2018-12;2018-12-23
2018-12-30 20:00:03;2018;2018-12;2018-12-30
2019-01-06 20:00:05;2019;2019-1;2019-1-6
2019-01-20 20:00:03;2019;2019-1;2019-1-20
2019-01-27 20:00:03;2019;2019-1;2019-1-27
2018-10-17 09:53:16;2018;2018-10;2018-10-17
2018-10-31 14:36:13;2018;2018-10;2018-10-31
2018-10-31 18:43:28;2018;2018-10;2018-10-31
2018-11-04 22:38:12;2018;2018-11;2018-11-4
2018-11-06 09:32:57;2018;2018-11;2018-11-6
2018-11-07 23:35:55;2018;2018-11;2018-11-7
2018-11-11 20:00:01;2018;2018-11;2018-11-11
2018-11-15 19:03:05;2018;2018-11;2018-11-15
2018-11-25 20:00:03;2018;2018-11;2018-11-25
2018-12-02 20:00:03;2018;2018-12;2018-12-2
2018-12-09 20:00:03;2018;2018-12;2018-12-9
2018-12-16 20:00:03;2018;2018-12;2018-12-16
2018-12-23 20:00:02;2018;2018-12;2018-12-23
